Time,Temperature °C,Humidity %,pTemperature °C,pressure
2021-09-08 16:05:37.588322,25,45,25,1016
2021-09-08 16:05:47.677786,25,45,25,1016
2021-09-08 16:05:57.875884,25,45,25,1016
2021-09-08 16:06:07.994850,25,45,25,1016
2021-09-08 16:06:18.152630,25,45,25,1016
2021-09-08 16:06:28.278541,25,45,25,1016
2021-09-08 16:06:38.430574,25,45,25,1016
2021-09-08 16:06:48.524081,25,45,25,1016
2021-09-08 16:06:58.696682,25,45,25,1016
2021-09-08 16:07:08.826347,25,45,25,1016
2021-09-08 16:07:18.981973,25,45,25,1016
2021-09-08 16:07:29.116780,25,45,25,1016
2021-09-08 16:07:39.256046,25,45,25,1016
2021-09-08 16:07:49.392464,25,45,25,1016
2021-09-08 16:07:59.520715,25,45,25,1016
2021-09-08 16:08:09.652264,25,45,25,1016
2021-09-08 16:08:19.790810,25,45,25,1016
2021-09-08 16:08:29.942515,25,45,25,1016
2021-09-08 16:08:40.057917,25,45,25,1016
2021-09-08 16:08:50.195620,25,45,25,1016
2021-09-08 16:09:00.346055,25,45,25,1016
2021-09-08 16:09:10.447134,25,45,25,1016
2021-09-08 16:09:20.622314,25,45,25,1016
2021-09-08 16:09:30.763578,25,45,25,1016
2021-09-08 16:09:40.890293,25,45,25,1016
2021-09-08 16:09:51.051812,25,45,25,1016
2021-09-08 16:10:01.159578,25,45,25,1016
2021-09-08 16:10:11.301905,25,45,25,1016
2021-09-08 16:10:21.459816,25,45,25,1016
2021-09-08 16:10:31.558380,25,45,25,1016
2021-09-08 16:10:41.711399,25,45,25,1016
2021-09-08 16:10:51.798275,25,45,25,1016
2021-09-08 16:11:01.999965,25,45,25,1016
2021-09-08 16:11:12.131600,25,45,25,1016
2021-09-08 16:11:22.260248,25,45,25,1016
2021-09-08 16:11:32.349485,25,45,25,1016
2021-09-08 16:11:42.552626,25,45,25,1016
2021-09-08 16:11:52.692933,25,45,25,1016
2021-09-08 16:12:02.817565,25,45,25,1016
2021-09-08 16:12:12.957623,25,45,25,1016
2021-09-08 16:12:23.100917,25,45,25,1016
2021-09-08 16:12:33.229502,25,45,25,1016
2021-09-08 16:12:43.380775,25,45,25,1016
2021-09-08 16:12:53.466908,25,45,25,1016
2021-09-08 16:13:03.640557,25,45,25,1016
2021-09-08 16:13:13.731826,25,45,25,1016
2021-09-08 16:13:23.836794,25,45,25,1016
2021-09-08 16:13:33.943584,25,45,25,1016
2021-09-08 16:13:44.088354,25,45,25,1016
2021-09-08 16:13:54.223758,25,45,25,1016
2021-09-08 16:14:04.312210,25,45,25,1016
2021-09-08 16:14:14.516516,25,45,25,1016
2021-09-08 16:14:24.617559,25,45,25,1016
2021-09-08 16:14:34.777288,25,45,25,1016
2021-09-08 16:14:44.929911,25,45,25,1016
2021-09-08 16:14:55.062318,25,45,25,1016
2021-09-08 16:15:05.192523,25,45,25,1016
2021-09-08 16:15:15.342300,25,45,25,1016
2021-09-08 16:15:25.439701,25,45,25,1016
2021-09-08 16:15:35.627384,25,45,25,1016
2021-09-08 16:15:45.755103,25,45,25,1016
2021-09-08 16:15:55.875660,25,45,25,1016
2021-09-08 16:16:06.030316,25,45,25,1016
2021-09-08 16:16:16.150740,25,45,25,1016
2021-09-08 16:16:26.298813,25,46,25,1016
2021-09-08 16:16:36.440073,25,45,25,1016
2021-09-08 16:16:46.536006,25,45,25,1016
2021-09-08 16:16:56.702956,25,45,25,1016
2021-09-08 16:17:06.795813,25,45,25,1016
2021-09-08 16:17:17.016609,25,45,25,1016
2021-09-08 16:17:27.117074,25,45,25,1016
2021-09-08 16:17:37.272442,25,45,25,1016
2021-09-08 16:17:47.403314,25,45,25,1016
2021-09-08 16:17:57.536458,25,45,25,1016
2021-09-08 16:18:07.630648,25,45,25,1016
2021-09-08 16:18:17.802521,25,45,25,1016
2021-09-08 16:18:27.944598,25,45,25,1016
2021-09-08 16:18:38.079287,25,45,25,1016
2021-09-08 16:18:48.219472,25,45,25,1016
2021-09-08 16:18:58.368622,25,45,25,1016
2021-09-08 16:19:08.504686,25,45,25,1016
2021-09-08 16:19:18.643680,25,45,25,1016
2021-09-08 16:19:28.776187,25,45,25,1016
2021-09-08 16:19:38.863702,25,45,25,1016
2021-09-08 16:19:49.051152,25,45,25,1016
2021-09-08 16:19:59.198723,25,45,25,1016
2021-09-08 16:20:09.334272,25,45,25,1016
2021-09-08 16:20:19.422213,25,45,25,1016
2021-09-08 16:20:29.594561,25,45,25,1016
2021-09-08 16:20:39.730082,25,45,25,1016
2021-09-08 16:20:49.867283,25,45,25,1016
